Index,0 [0x5][0x0],1 [0x5][0x2],2 [0x5][0x4],3 [0x5][0x6],4 [0x5][0x8],5 [0x5][0xa],6 [0x5][0xc],7 [0x5][0xe],8 [0x5][0x10],9 [0x5][0x12],10 [0x5][0x14],11 [0x5][0x16],12 [0x5][0x18],13 [0x5][0x1a]
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,54,67,80,0,0,0,0,30,30,30,670,840,1000
2,4,54,67,80,0,0,0,0,30,30,30,670,840,1000
3,2,60,75,90,0,0,0,0,80,80,80,780,980,1170
4,4,60,75,90,0,0,0,0,80,80,80,780,980,1170
5,2,67,84,100,0,0,0,0,130,130,130,900,1120,1340
6,4,67,84,100,0,0,0,0,130,130,130,900,1120,1340
7,2,74,92,110,0,0,0,0,180,180,180,1010,1260,1510
8,4,74,92,110,0,0,0,0,180,180,180,1010,1260,1510
9,2,80,100,120,0,0,0,0,0,0,0,1120,1400,1670
10,4,80,100,120,0,0,0,0,0,0,0,1120,1400,1670
11,2,120,150,180,0,0,0,0,0,0,0,1670,2090,2500
12,4,120,150,180,0,0,0,0,0,0,0,1670,2090,2500
